RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1,Massachusetts Institute of Technology (MIT) ,US,M,CO,VH,5,B,100,5,100,4,100,14,100,5,100,54,90,109,96.1,58,100,3,100
2,University of Cambridge,UK,L,FC,VH,5,A,100,2,100,2,100,11,92.3,55,100,60,96.3,70,99.5,6,100,9,98.8
3,Stanford University,US,L,FC,VH,5,B,100,4,100,5,100,6,99.9,9,99.8,74,60.3,235,96.3,55,100,2,98.5
4,University of Oxford,UK,L,FC,VH,5,A,100,3,100,3,100,8,90,64,98.8,101,98.4,54,99.9,3,100,7,98.4
5,Harvard University,US,L,FC,VH,5,B,100,1,100,1,99.4,35,100,2,76.9,228,66.9,212,100,1,100,1,97.6
6=,California Institute of Technology (Caltech),US,S,CO,VH,5,B,96.5,28,87.1,58,100,3,100,4,99.8,75,85.1,134,73,425,98.8,24,97
6=,Imperial College London,UK,L,FC,VH,5,A,98.3,24,99.7,10,99.5,34,86.5,84,100,55,100,13,98.1,20,88.8,76,97
8,UCL,UK,XL,FC,VH,5,A,99.4,14,98.6,16,97.6,51,77,119,99.2,87,100,14,100,2,90.3,71,95
9,ETH Zurich - Swiss Federal Institute of Technology,CH,L,CO,VH,5,A,98.6,18,91.3,51,74.2,164,99.2,18,100,24,98,59,96.2,56,91.1,64,93.6
10,University of Chicago,US,L,FC,VH,5,B,99.2,16,92.2,46,92.9,71,86.8,79,81.6,214,76,176,89.6,170,98.2,30,93.2
11,National University of Singapore (NUS),SG,XL,FC,VH,3,A,99.5,13,94.1,36,79.8,136,91.8,58,100,33,73.5,187,89.9,165,99.6,16,92.7
12,Peking University,CN,XL,FC,VH,5,A,99.3,15,96.5,28,87.3,98,96.7,34,57.1,323,36.9,376,77.5,354,91.4,59,91.3
13,University of Pennsylvania,US,L,FC,VH,5,B,96.5,29,92.5,45,99.9,23,70.9,142,96.2,128,66.1,215,93.3,104,100,5,90.6
14,Tsinghua University,CN,XL,FC,VH,4,A,98.9,17,97.7,23,92.8,72,98.1,24,16.7,601+,25.7,462,75.5,381,87.1,80,90.1
15,The University of Edinburgh,UK,XL,FC,VH,5,A,98,26,97.2,24,81.1,129,70.1,149,98.9,98,99.5,38,98.7,15,54.3,219,89.5
16=,EPFL,CH,M,FO,VH,5,A,83.7,59,71.8,93,91.1,82,99.4,15,100,17,100,11,87.3,207,28,451,89.2
16=,Princeton University,US,M,CO,VH,5,B,99.9,10,98.9,14,72.6,172,100,3,26,515,62.2,226,78.5,340,100,8,89.2
18,Yale University,US,M,FC,VH,5,B,99.9,9,100,7,100,2,51.5,249,89.2,179,77.3,165,92,123,100,4,89
19,"Nanyang Technological University, Singapore (NTU)",SG,L,FC,VH,3,A,90.4,42,76.1,81,83.2,120,94.1,49,100,30,74.1,186,89.6,169,84.6,86,88.4
20,Cornell University,US,L,FC,VH,5,B,98.3,23,91.4,50,62.2,245,99.3,17,63.9,290,55.3,256,90,161,99.5,19,87.2
21,The University of Hong Kong,HK,L,FC,VH,5,A,97.4,27,62.9,119,84.2,113,72.6,131,100,27,98.7,50,81.1,303,99,23,87
22,Columbia University,US,L,FC,VH,5,B,99.7,11,98.1,20,100,12,47.2,282,47.6,369,94.6,85,98.9,14,99.8,11,86.7
23,The University of Tokyo,JP,L,FC,VH,5,A,100,7,99.7,9,91.9,78,73.3,128,10.4,601+,27.8,448,89.5,174,97.8,33,85.3
24,Johns Hopkins University,US,L,FC,VH,5,B,87.9,49,47.2,198,100,5,87.3,76,63.6,294,82.9,145,97.7,27,95.3,42,85.1
25,University of Michigan-Ann Arbor,US,XL,FC,VH,5,A,98.5,22,91.3,52,88.9,92,62.5,190,71.2,253,33.1,404,96.3,52,96,40,84.4
26,Université PSL,FR,L,CO,VH,1,A,74.4,78,97,25,99.8,24,84.1,96,59.7,308,83.6,142,99.7,4,53.9,227,83.8
27,"University of California, Berkeley (UCB)",US,XL,FC,VH,5,A,100,6,100,6,23.9,599,99.9,10,93.3,155,57.7,248,96.7,45,99.1,21,82.7
28,The University of Manchester,UK,XL,FC,VH,5,A,95.1,33,97.7,22,63.1,234,59,207,93.4,152,99.4,41,98.9,13,66.4,158,82.3
29,Seoul National University,KR,L,FC,VH,4,A,98.6,19,97.8,21,87,100,70.3,147,12.2,601+,10.3,601+,79.3,329,97.7,34,82.2
30,The Australian National University,AU,L,FC,VH,4,A,93.6,35,70.1,95,38,404,99.3,16,100,37,96,71,94.6,86,59.1,192,82.1
31,McGill University,CA,XL,FC,VH,5,A,93.3,36,93.6,39,68.9,193,59.6,203,87.6,188,95.1,77,95.2,69,90,72,81.9
32,Northwestern University,US,L,FC,VH,5,B,84.4,56,71.9,92,98.3,45,84.2,95,40.5,401,38.8,351,89,183,98.4,29,81.8
33,The University of Melbourne,AU,XL,FC,VH,5,A,98.6,20,94.9,34,17.9,601+,95,45,93.1,157,99.8,30,97.6,30,91.1,63,81.6
34=,Fudan University,CN,XL,FC,VH,4,A,83.6,60,93.5,40,89.3,88,70.4,146,89.3,178,38.7,355,70.6,457,65.7,164,81.5
34=,University of Toronto,CA,XL,FC,VH,5,A,99.6,12,98.3,18,65.6,219,43.5,313,95.8,132,95.7,74,96.7,46,94,45,81.5
36,Kyoto University,JP,L,FC,VH,5,A,98.6,21,98.9,15,94.8,62,54.2,234,14.9,601+,22.1,503,85.5,233,56.9,201,81.4
37,King's College London,UK,XL,FC,VH,5,A,88.8,47,83.2,66,74.5,162,60.5,198,98.6,104,100,21,99.3,8,56.9,200,81.2
38,The Chinese University of Hong Kong (CUHK),HK,L,FC,VH,4,A,87.3,51,49.6,177,60.9,250,92.9,53,100,58,90.5,108,74.9,398,79.4,108,80.6
39,New York University (NYU),US,XL,FC,VH,5,B,95.9,32,99,13,98.1,48,28.9,440,31.3,463,94.4,87,92,122,99.7,13,80.3
40,The Hong Kong University of Science and Technology,HK,M,CO,VH,3,A,82,64,50.1,172,62.6,239,98.6,20,100,20,87.9,121,56.2,601+,91.2,61,79.8
41,The University of Sydney,AU,XL,FC,VH,5,A,96.2,30,91.7,49,15.6,601+,92.1,56,99.3,84,100,12,97.3,34,90.8,65,79.6
42=,KAIST - Korea Advanced Institute of Science & Technology,KR,M,CO,VH,4,A,88.1,48,85.8,60,68.9,192,97.7,27,23.1,542,12.3,601+,65.2,505,63.2,178,79.3
42=,Zhejiang University,CN,XL,FC,VH,4,A,72.2,82,95.3,31,78.7,146,88.4,72,99.1,88,42.5,325,80.8,309,42.3,307,79.3
44,"University of California, Los Angeles (UCLA)",US,XL,FC,VH,5,A,100,8,99.9,8,37.7,410,85.9,87,45.1,377,27.5,450,96.3,53,98,31,78.7
45,The University of New South Wales (UNSW Sydney),AU,XL,FC,VH,4,A,89,46,91.1,53,16.8,601+,97.6,28,100,50,99.8,31,98.2,17,93,51,78
46,Shanghai Jiao Tong University,CN,XL,FC,VH,4,A,82.7,61,90.2,54,57.7,269,97.1,31,40.9,400,38.4,357,73.9,412,57.8,194,77.4
47,University of British Columbia,CA,XL,FC,VH,5,A,98,25,95.4,30,56.5,275,42.1,332,89,180,74.9,181,97.9,24,75.2,119,77
48,Institut Polytechnique de Paris,FR,M,CO,VH,1,A,45.3,180,99.4,11,98.9,41,94,49,97,124,98.2,56,94.8,78,99.8,12,76.8
49,Technical University of Munich,DE,XL,FO,VH,5,A,84,57,96.8,26,96.4,57,25.8,482,70.3,255,95,80,91.8,125,37.5,347,76.4
50=,Duke University,US,L,FC,VH,5,B,86.1,53,79.8,71,100,10,41.2,345,20.2,581,55.1,257,95.5,63,98.6,27,74.8
50=,The University of Queensland,AU,XL,FC,VH,5,A,86.6,52,75.6,83,20.2,601+,90.8,62,100,36,100,19,94.6,85,41.8,311,74.8
52,Carnegie Mellon University,US,L,FC,VH,5,B,72.1,83,69,101,58.6,267,100,8,38.2,414,97.1,66,88.7,188,85.3,83,74.6
53,"University of California, San Diego (UCSD)",US,XL,FC,VH,4,A,90,45,61.6,123,55.6,280,77,118,54.9,333,53.7,267,96.9,40,21.2,560,74.5
54,City University of Hong Kong,HK,M,CO,VH,3,A,57.3,130,29.4,328,88.6,93,98.1,25,100,16,100,15,55.1,601+,57.2,198,73.6
55,Tokyo Institute of Technology (Tokyo Tech),JP,M,CO,VH,4,A,74.1,80,93.4,42,81.5,126,65.9,168,36.1,433,37.9,362,55.8,601+,33.6,377,72.5
56,The London School of Economics and Political Science (LSE),UK,L,SP,VH,5,A,69,91,98.3,17,37.8,408,84.6,93,100,32,100,8,67.6,487,99.9,10,72.3
57,Monash University,AU,XL,FC,VH,4,A,87.6,50,80.8,68,11.2,601+,79.3,113,100,48,100,18,95.1,75,56.8,202,71.6
58,University of Amsterdam,NL,XL,FC,VH,5,A,82.7,62,42.3,223,26.7,562,97.3,29,92.3,161,80.7,152,97.2,35,51.4,241,71.1
59,Ludwig-Maximilians-Universität München,DE,XL,FC,VH,5,A,92.6,37,75.7,82,56,278,45.5,296,64.2,287,38.8,352,94.7,84,39.3,333,70.4
60,Sorbonne University,FR,XL,FC,VH,1,A,90,44,41.7,225,40.6,387,86.3,86,28.3,496,54.7,262,99.6,5,60.9,187,70.1
61=,Delft University of Technology,NL,L,CO,VH,5,A,71.6,87,80.2,69,34.5,447,84.4,94,100,64,83.7,141,95.9,60,64,172,70
61=,University of Bristol,UK,L,FC,VH,5,A,74.4,79,84.1,64,58.3,268,55.3,225,90.5,170,84.9,135,93.9,92,59.6,190,70
63,Brown University,US,M,FC,VH,5,B,57.6,128,54.2,154,80.8,132,89.9,65,82.8,210,49.8,294,73.6,417,99.6,14,69.6
64,The University of Warwick,UK,L,FC,VH,4,A,71.8,85,89.3,55,43.1,360,63.1,186,98.1,111,99.2,45,93.6,97,62,181,69.1
65=,Ruprecht-Karls-Universität Heidelberg,DE,L,FC,VH,5,A,78.7,72,40.3,230,99.8,26,41.1,346,51.3,348,47.2,307,95.2,70,22.8,531,69
65=,The Hong Kong Polytechnic University,HK,L,CO,VH,3,A,66.1,99,37,257,78.4,147,68.9,151,100,46,80.7,153,74.2,409,49.2,256,69
67,Universidad de Buenos Aires (UBA),AR,XL,FC,VH,5,A,92.3,39,94,37,76,158,1.8,601+,63.7,293,68.9,207,63,533,34.3,371,68.9
68,Osaka University,JP,L,FC,VH,4,A,80.2,68,85.4,61,67.4,205,59.1,206,25,525,14.4,601+,75.2,385,21,567,68.2
69,Université Paris-Saclay,FR,L,CO,VH,1,A,57.2,131,99.2,12,99.7,28,49.5,266,43.7,387,59.1,243,97.1,37,7.8,601+,68.1
70,Universiti Malaya (UM),MY,L,FC,VH,4,A,79.6,70,94.9,35,67.8,200,39.4,355,43.6,388,53,272,91.8,126,41.9,310,67.9
71,Pohang University of Science And Technology (POSTECH),KR,S,FO,VH,3,B,47.4,169,69.4,98,100,15,98,26,34.7,444,2.9,601+,30.9,601+,54.8,215,67.7
72,University of Texas at Austin,US,XL,FC,VH,5,A,93.7,34,85.2,62,9.8,601+,90.9,61,7.6,601+,10.8,601+,90.9,142,71.1,131,67.4
73,Yonsei University,KR,L,FC,VH,4,B,75.5,76,95.5,29,88.6,94,28.4,448,19.4,587,51.3,285,63.5,526,68.8,144,67
74,Korea University,KR,L,FC,VH,4,B,79.3,71,93.9,38,86.1,105,29.5,433,14.7,601+,32.9,406,63.1,532,71.8,129,66.9
75,Lomonosov Moscow State University,RU,XL,FC,VH,5,A,80.5,67,77,78,99.8,27,5.3,601+,19.2,589,91.9,103,87.5,204,91.2,62,66.8
76,KU Leuven,BE,XL,FC,VH,5,A,83.8,58,53,156,7.7,601+,92.7,54,91.9,164,43.3,320,99.1,11,44.8,283,66
77,National Taiwan University (NTU),TW,XL,FC,VH,4,A,92.3,38,92.6,44,33.4,461,49.7,262,19,591,32.6,412,75,393,96.7,37,65.7
78,University of Southampton,UK,L,FC,VH,5,A,50.7,153,56.6,140,63.3,233,82.7,100,96.1,130,93.8,89,96.7,47,42.8,302,65
79,Tohoku University,JP,L,FC,VH,5,A,71.8,86,78.1,75,98.6,43,34.2,401,14.1,601+,16.4,595,66.8,493,18.7,601+,64.9
80,University of Washington,US,XL,FC,VH,5,A,84.8,55,48.6,183,10.8,601+,100,7,32.5,458,36,384,97.6,29,84.1,89,64.7
81,University of Glasgow,UK,XL,FC,VH,5,A,75.1,77,75.1,85,50.5,311,34.7,394,95.5,134,98.9,49,94.7,81,29.4,430,64.6
82,University of Copenhagen,DK,XL,FC,VH,5,A,72.8,81,36.6,261,100,17,26,476,91.3,166,24.5,473,99.1,10,58.2,193,64.1
83=,University of Wisconsin-Madison,US,XL,FC,VH,5,A,82.4,63,48.1,188,70.6,184,41.9,333,37.7,421,23.8,482,93.2,105,84.6,87,63.7
83=,University of Zurich,CH,L,FC,VH,5,A,58,124,39.2,238,93.3,68,49.3,268,100,57,55.5,255,93.5,98,77.8,114,63.7
85,University of Illinois at Urbana-Champaign,US,XL,FC,VH,5,A,85.6,54,60.9,126,9.5,601+,88.7,71,20.3,578,46.4,309,92.2,118,70,135,63.6
86,University of Leeds,UK,XL,FC,VH,5,A,70.2,88,78.4,74,41.6,376,47.8,276,86.3,195,86.5,129,97.8,26,42.9,300,62.8
87,The University of Auckland,NZ,L,FC,VH,5,A,81.5,65,48.3,186,22.4,601+,54.1,235,99.9,71,92.4,102,87.2,208,79.2,110,62.7
88,Georgia Institute of Technology,US,L,CO,VH,5,A,67.7,97,77,77,11.1,601+,95.5,44,62.9,299,54.8,260,78.5,341,63.5,176,62.3
89,KTH Royal Institute of Technology ,SE,L,CO,VH,5,A,45.8,178,58.2,136,70,186,76.4,123,97.1,123,70.2,199,89.9,164,81.4,100,62.1
90,The University of Western Australia,AU,L,FC,VH,5,A,55.6,137,49.9,175,21.8,601+,98.9,19,100,28,99.9,23,98.2,16,65,167,61.7
91,University of Birmingham,UK,XL,FC,VH,5,A,66,100,74.7,86,44.1,349,45.9,295,91,168,87.4,122,95.1,73,37.6,344,61.1
92,Durham University,UK,L,FC,VH,5,A,57.9,125,89.2,56,31,501,65.7,174,97.2,122,87.2,123,89.1,182,43.6,295,60.9
93,Pennsylvania State University,US,XL,FC,VH,5,A,76.7,75,69.8,97,32.6,473,67.7,162,25.3,523,31,421,96.8,44,44.8,282,60.8
94,University of Science and Technology of China,CN,L,CO,VH,4,A,51.6,147,12.4,501+,86.6,103,99.9,12,18.7,596,5.7,601+,67,491,37.6,345,60.7
95,Lund University,SE,XL,FC,VH,5,A,68.8,92,50.9,163,51.3,307,41.4,341,95.8,133,76.6,173,97.6,28,64.9,168,60.1
96=,The University of Sheffield,UK,L,FC,VH,5,A,58.7,122,53.5,155,59.4,264,46.9,284,85.3,199,97.8,61,94.7,79,33.7,376,59.5
96=,University of St Andrews,UK,M,FC,VH,5,A,46.2,175,67.6,106,61.1,249,58.9,209,98.8,100,99.7,35,83.4,265,44.1,292,59.5
98,"Trinity College Dublin, The University of Dublin",IE,L,FC,VH,5,A,67.9,95,48.2,187,25.7,573,60.2,199,99.8,73,93.3,92,87.3,206,97.9,32,59.1
99,Sungkyunkwan University(SKKU),KR,L,FC,VH,5,B,60.2,115,72.7,90,83.9,115,37.8,368,18.9,592,38.7,354,58.8,582,33.9,375,58.9
100,Rice University,US,M,FC,VH,5,B,38.8,218,26.1,366,69.5,189,86.7,82,90,174,92.6,100,57.2,601+,70.7,133,58.8
101,University of Oslo,NO,L,FC,VH,5,A,54.9,141,14.5,501+,83.8,117,62.7,187,86.2,196,27.5,449,97.9,25,65.7,163,58.7
102=,"University of California, Davis",US,XL,FC,VH,5,A,64.8,105,51,162,27.1,559,68.7,153,84.7,204,70.2,198,90.2,155,25,488,58.2
102=,"University of North Carolina, Chapel Hill",US,XL,FC,VH,5,A,65.5,102,44.7,210,80.4,135,46.6,287,27.2,507,10,601+,90,160,67.4,152,58.2
104=,Technical University of Denmark,DK,M,FO,VH,5,A,30.9,273,23.4,411,100,20,70.8,143,100,59,77.2,166,91.2,138,68.3,147,58
104=,Universidad Nacional Autónoma de México (UNAM),MX,XL,FC,VH,5,A,96,31,95.1,32,43.2,358,2.9,601+,9.3,601+,2.6,601+,91.3,136,61.5,184,58
106=,King Abdulaziz University (KAU),SA,XL,FC,VH,4,A,48.4,167,70.7,94,66.3,215,50.6,256,99,94,54.3,263,93.4,102,10.5,601+,57.8
106=,University of Helsinki,FI,L,CO,VH,5,A,65.3,103,44.6,212,66.5,212,49.8,261,67.9,269,5.8,601+,95.2,67,62.5,180,57.8
108,Boston University,US,L,FC,VH,5,B,62.3,110,57.2,139,40.4,388,61.6,195,33.7,449,83.3,144,86.9,212,80.5,103,57.2
109,The University of Adelaide,AU,L,FC,VH,5,A,52.3,146,35.2,279,17.2,601+,94.5,46,99.8,76,99.8,28,93.1,108,40.2,325,57
110,University of Alberta,CA,XL,FC,VH,5,A,55.1,139,48.9,181,51.5,305,53.9,237,95.3,135,76.9,171,96.1,57,41,318,56.9
111,École Normale Supérieure de Lyon,FR,S,CO,VH,5,A,31.8,265,12.6,501+,94.3,63,96.4,36,66,282,17.4,572,70.1,461,44.3,289,56.6
112=,Nagoya University,JP,L,FC,VH,4,A,59.8,117,54.3,153,90.6,84,33.9,403,15.8,601+,20,536,66.5,499,35.1,367,56.3
112=,Utrecht University,NL,XL,FC,VH,5,A,65.8,101,26.6,361,35.1,443,79.6,112,58.3,312,23.1,489,94.7,83,42.5,305,56.3
114,University of Nottingham,UK,XL,FC,VH,5,A,59,120,75.3,84,36.9,421,45.2,298,90.3,173,76.7,172,98.1,19,32.5,391,56.2
115,Universidade de São Paulo,BR,XL,FC,VH,4,A,91.8,41,69.9,96,17.4,601+,40.6,348,7.6,601+,2.7,601+,94.7,82,78.9,113,56.1
116=,Aalto University,FI,L,FO,VH,2,A,44.5,187,45.8,207,44.4,347,89.3,68,94.9,139,35.6,387,90.3,154,79.8,106,55.9
116=,Université de Montréal ,CA,XL,FC,VH,5,A,57.4,129,47.2,197,76.2,157,27.6,455,89.5,176,53.7,266,86,224,19.3,601+,55.9
118=,Freie Universitaet Berlin,DE,L,FC,VH,4,A,80.7,66,44.9,209,4,601+,63.5,183,63,298,42,328,91.9,124,33.3,383,55.8
118=,Washington University in St. Louis,US,L,FC,VH,5,B,40.1,210,15.3,501+,99.9,22,55.6,221,82.4,212,55.1,258,84.9,243,71,132,55.8
120,University of Bern,CH,M,FO,VH,5,A,30.3,283,35.5,277,64.9,223,98.3,22,100,41,41.9,329,95.3,66,18.4,601+,55.7
121,Pontificia Universidad Católica de Chile (UC),CL,L,FC,VH,5,B,91.8,40,98.1,19,22.3,601+,12.5,601+,17.9,601+,3.9,601+,82.7,275,90.4,70,54.9
122,Newcastle University,UK,L,FC,VH,4,A,46.2,176,83.8,65,39.1,398,58.9,211,84.8,203,75.6,178,96.9,39,14.9,601+,54.8
123,Universiti Putra Malaysia (UPM),MY,L,FC,VH,3,A,56.8,132,59.2,130,75.4,160,19.5,565,44.2,383,92.7,99,85,240,6.2,601+,54.7
124,Wageningen University & Research,NL,L,FO,VH,5,A,42.8,193,17,501+,97.4,52,48.2,275,50.5,349,76.4,175,96.9,43,18.8,601+,54.6
125=,Chalmers University of Technology,SE,M,CO,VH,5,B,27.9,305,60.7,128,60.5,255,81.6,104,100,53,72.4,190,84.1,256,22.5,538,54.5
125=,Queen Mary University of London,UK,L,FC,VH,5,A,48.9,163,36.2,267,42.8,363,62.6,188,99.7,81,99.5,40,93.7,96,13.8,601+,54.5
125=,University of Geneva,CH,L,FC,VH,5,A,46.5,174,20,463,44.8,345,74,127,100,39,96.7,68,92.8,110,45.9,276,54.5
128,Uppsala University,SE,L,FC,VH,5,A,63.6,107,27.4,351,43.4,357,43.4,314,95.3,137,74.7,182,97.1,36,48.5,263,54.3
129=,Purdue University,US,XL,FC,VH,5,A,62.7,109,73.1,88,11.7,601+,70.9,141,51.7,345,48.4,300,92.2,119,63.8,173,54.2
129=,Universiti Kebangsaan Malaysia (UKM),MY,L,FC,VH,4,A,57.9,126,62,122,93.1,70,9.4,601+,42.8,393,38.7,353,76.5,369,5.6,601+,54.2
131=,Humboldt-Universität zu Berlin,DE,XL,FC,VH,5,A,90.1,43,55.6,144,8.7,601+,29.5,434,58.1,314,33.9,397,91.4,133,26,476,54.1
131=,Leiden University,NL,XL,FC,VH,5,A,68.1,94,23.4,409,22.2,601+,65.8,169,85.1,202,47.2,308,94.7,80,30,416,54.1
133,Nanjing University,CN,XL,FC,VH,5,A,57.7,127,17.7,501+,32.3,478,96.1,39,54,337,8.2,601+,74.9,400,29.6,423,53.9
134,University of Southern California,US,XL,FC,VH,5,B,54.6,142,59.1,131,28.4,535,71.7,138,36.1,434,77.4,164,89.2,180,94.8,44,53.7
135,Kyushu University,JP,L,FC,VH,5,A,56.6,133,65,113,84.9,110,26.8,466,15.1,601+,20.7,530,66.1,502,22.4,543,53.5
136,University of Basel,CH,M,FC,VH,5,A,28,304,26.8,357,53.8,293,95.7,43,100,31,84.1,138,90.1,158,52.7,233,53.3
137,University of Technology Sydney,AU,L,CO,VH,3,A,41.8,199,66.1,110,9.6,601+,90.4,63,94.6,142,97.6,63,89.5,176,39.9,326,53.2
138,Eindhoven University of Technology,NL,M,FO,VH,4,A,28.9,296,72.8,89,50.5,312,78.2,116,100,45,56.9,251,72.3,436,45.1,279,52.7
139,Politecnico di Milano,IT,XL,FO,VH,5,A,67.8,96,76.8,80,5.4,601+,53.5,239,57.5,319,54.3,264,87.8,200,39.7,328,52.4
140,The Ohio State University,US,XL,FC,VH,5,A,61.1,113,62.2,121,51.1,308,34.6,396,63,297,16.2,600,96.5,49,41.9,309,52
141=,Hokkaido University,JP,L,FC,VH,5,A,55.6,136,60.7,127,77.8,151,30,430,18.3,601+,17.2,574,72.8,429,16.7,601+,51.9
141=,"KIT, Karlsruhe Institute of Technology",DE,L,CO,VH,4,A,44.7,185,67.7,105,33.3,462,72,133,68.6,266,50.6,288,89.6,171,54.3,220,51.9
143=,Ghent University,BE,XL,FC,VH,5,A,54,144,30.1,323,83.2,121,26.9,465,72.5,250,21.4,520,99.1,12,24.8,494,51.6
143=,Universiti Sains Malaysia (USM),MY,L,FC,VH,4,A,59.7,118,66.6,108,65.2,220,13.4,601+,25.4,522,75.3,179,79.6,327,6,601+,51.6
145,University of Groningen,NL,XL,FC,VH,5,A,51.6,148,21.6,431,54.4,286,42.2,330,93.4,151,86.9,124,96.3,54,20.9,569,51.4
146,Lancaster University,UK,L,FC,VH,4,A,39.6,215,30,325,31.5,492,82.2,103,93.3,154,94.5,86,88.9,186,28.3,448,51.2
147=,RWTH Aachen University,DE,XL,FC,VH,5,A,49.5,157,88.7,57,5.4,601+,73.3,129,48.3,364,81.1,151,84.1,255,30.8,405,51.1
147=,University of Rochester,US,M,FC,VH,5,B,23.8,356,20.1,459,99.3,36,55,230,74.9,238,95.1,78,75.1,389,46.5,273,51.1
149,"University of California, Santa Barbara (UCSB)",US,L,CO,VH,5,A,55.9,135,24,399,10.6,601+,97.2,30,57.8,317,28.4,444,78.4,343,15.6,601+,50.9
150,Al-Farabi Kazakh National University,KZ,L,FC,HI,4,A,49.1,159,76.9,79,98.3,46,1.3,601+,30.5,470,34.6,393,35.3,601+,12.3,601+,50.8
151,University of Vienna,AT,XL,FC,VH,5,A,69.4,89,55.3,148,24.2,596,14.1,601+,98.9,96,89.2,112,96.6,48,73,126,50.6
152,McMaster University,CA,L,FC,VH,5,A,39.9,212,50.2,170,84.7,112,21.3,535,99.3,85,59.2,241,79.8,324,42.9,301,50.4
153,Stockholm University,SE,L,CO,VH,4,A,54.5,143,17.7,501+,29.2,525,62.5,189,82,213,77.1,169,97.3,33,69.3,141,50.1
154,University of Waterloo,CA,XL,CO,VH,4,A,40.2,209,77.6,76,7,601+,82.5,101,79,222,82,149,83.6,263,87.7,78,50
155=,Emory University,US,L,FC,VH,5,B,25.2,336,15.7,501+,99.1,40,68.7,154,50.1,351,31.1,420,87.7,201,44.5,287,49.5
155=,Indian Institute of Science,IN,S,SP,VH,5,A,37.6,223,22.9,416,56.3,276,100,1,11.7,601+,1.9,601+,46,601+,14.8,601+,49.5
157,Hanyang University,KR,L,FC,VH,4,B,45,182,79.1,73,83.2,119,17.6,588,18.8,594,43.8,315,68,480,33.9,374,49.4
158,Technische Universität Berlin (TU Berlin),DE,L,CO,VH,5,A,55.1,140,64.9,115,48.5,321,23.6,509,46.1,376,75,180,83.2,268,31.6,397,49.3
159,Michigan State University,US,XL,FC,VH,5,A,60.5,114,61.4,124,12.9,601+,58.9,210,62.1,303,16.9,584,93.2,107,53.6,229,48.9
160,King Fahd University of Petroleum & Minerals,SA,M,FC,VH,4,A,30.3,284,24.9,385,88.5,95,50.9,253,100,26,21.8,508,70.2,458,66.7,156,48.8
161,Aarhus University,DK,L,FC,VH,4,A,55.6,138,33.5,291,32.4,476,55.2,226,87.9,184,16.3,598,95.4,65,33.5,380,48.6
162,University of York,UK,L,FC,VH,4,A,43.3,191,36.1,268,45,343,48.6,270,88.1,183,82.1,147,88.9,187,23.7,511,48.4
163,The University of Exeter,UK,L,FC,VH,4,A,41.1,201,56.1,142,31.5,491,55.3,224,92.3,162,77.7,163,94.8,77,15.9,601+,48.2
164=,Texas A&M University,US,XL,FC,VH,5,A,61.5,112,65,112,5,601+,67.8,161,24.8,527,14.7,601+,91.1,140,36.3,356,47.9
164=,"University of Maryland, College Park",US,XL,FC,VH,5,A,51.2,151,35.6,275,37.1,418,71.1,140,23.8,534,14.9,601+,92.6,112,61.4,185,47.9
166,Cardiff University,UK,L,FC,VH,5,A,46,177,47.7,191,40.3,390,41.8,336,84.1,207,74.7,183,91.4,132,19.5,599,47.8
167=,Alma Mater Studiorum - University of Bologna,IT,XL,FC,VH,5,A,78.5,73,43.1,219,3.5,601+,49.7,263,7.8,601+,10.8,601+,95.1,74,40.7,322,47.5
167=,Universidad de Chile,CL,XL,FC,VH,5,A,80,69,92,47,12.5,601+,13.9,601+,9.4,601+,5.6,601+,77.4,355,42.6,304,47.5
169,Eberhard Karls Universität Tübingen,DE,L,FC,VH,5,A,44.7,184,21,440,96.7,55,14.9,601+,67,277,26.1,460,96.5,50,16.6,601+,47.2
170,Tecnológico de Monterrey,MX,XL,FC,HI,4,B,48.8,164,92.8,43,72.9,170,2.2,601+,52.9,339,8.6,601+,65.1,508,85.6,82,47.1
171,Sapienza University of Rome,IT,XL,FC,VH,5,A,78,74,36.6,262,4.5,601+,50.2,258,3.4,601+,11.4,601+,98,23,55.8,209,46.8
172=,Indian Institute of Technology Bombay (IITB),IN,L,CO,VH,4,A,53.3,145,86.5,59,25.8,572,55.1,228,3.9,601+,1.6,601+,58,593,76.7,115,46.7
172=,Western University,CA,L,FC,VH,5,A,30.6,280,60.5,129,4.6,601+,96.9,32,99.8,72,57.2,250,86,225,81,101,46.7
174=,Ecole des Ponts ParisTech,FR,S,FO,VH,5,A,8.4,501+,55.3,147,97.4,53,56.7,219,36.3,431,95,79,43.8,601+,90.4,68,46.5
174=,Indian Institute of Technology Delhi (IITD),IN,M,CO,VH,4,A,49,161,79.2,72,27.7,543,65.2,176,2.6,601+,1.7,601+,42.2,601+,84.8,84,46.5
176,Case Western Reserve University,US,M,FC,VH,4,B,18.3,471,20.2,458,89.1,90,65.8,172,47.8,366,64.6,220,72.5,433,40.9,319,46.2
177,National Tsing Hua University,TW,L,CO,VH,4,A,51.3,149,69,100,34.4,449,47.7,279,17.7,601+,19.1,552,35.8,601+,5.5,601+,45.9
178,Universitat Autònoma de Barcelona,ES,XL,FC,VH,4,A,62.2,111,28.9,336,11.8,601+,66.9,164,20.7,574,20.2,535,94.1,91,20,590,45.8
