RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1201-1400,Indiana State University,US,M,CO,HI,4,A,5.3,501+,5.8,501+,7.5,601+,3.3,601+,2.3,601+,2.6,601+,4.4,601+,6.7,601+,-
1201-1400,International Islamic University Islamabad (IIU),PK,L,FO,VH,3,A,5.8,501+,12.1,501+,3.5,601+,7.3,601+,1.7,601+,6.8,601+,32.3,601+,11.4,601+,-
1201-1400,Irkutsk State University,RU,L,FO,HI,5,A,3.1,501+,1.5,501+,22.9,601+,1.5,601+,2.6,601+,4.4,601+,9.9,601+,9.9,601+,-
1201-1400,Istanbul Bilgi Üniversitesi,TR,M,FO,HI,3,B,3.5,501+,5.3,501+,16,601+,2.1,601+,7,601+,24.8,471,7,601+,18.3,601+,-
1201-1400,Izmir Institute of Technology (IZTECH),TR,M,CO,HI,3,A,5.1,501+,2.3,501+,5.7,601+,10,601+,4.4,601+,2.6,601+,13.4,601+,6.1,601+,-
1201-1400,Jamia Hamdard,IN,M,CO,HI,3,A,3.9,501+,2.7,501+,8.6,601+,11.5,601+,,,3.3,601+,11.5,601+,7.8,601+,-
1201-1400,Kindai University (Kinki University),JP,XL,FC,HI,4,C,4.4,501+,5.1,501+,10.7,601+,4.9,601+,12.7,601+,1.8,601+,24.8,601+,2.7,601+,-
1201-1400,King Mongkut\'s Institute of Technology Ladkrabang,TH,L,FO,VH,4,A,7.4,501+,13.1,501+,5.3,601+,3,601+,17.1,601+,1.7,601+,14.9,601+,3.9,601+,-
1201-1400,Kwansei Gakuin University,JP,L,CO,HI,4,B,3.3,501+,7.4,501+,4.2,601+,3.2,601+,29.7,479,4.1,601+,17,601+,8.6,601+,-
1201-1400,Lucian Blaga University of Sibiu,RO,L,FC,MD,3,A,3.1,501+,2.5,501+,7.9,601+,1.7,601+,7,601+,3.2,601+,7.4,601+,13,601+,-
1201-1400,Makerere University,UG,XL,FC,HI,5,A,9.4,501+,6.6,501+,3.7,601+,4.6,601+,11.4,601+,9.2,601+,53.1,601+,94.9,43,-
1201-1400,Mansoura University,EG,XL,FC,HI,4,A,11.1,501+,5.8,501+,3.5,601+,2.4,601+,2.3,601+,2.9,601+,74.9,395,6.4,601+,-
1201-1400,Marmara University,TR,XL,FO,VH,5,A,5.2,501+,5.1,501+,6.3,601+,2.2,601+,3.3,601+,4,601+,32.6,601+,20.8,570,-
1201-1400,Meiji University,JP,XL,CO,HI,5,C,6.4,501+,22.1,429,5.8,601+,1.8,601+,10.1,601+,6.2,601+,15.7,601+,16.5,601+,-
1201-1400,Miami University,US,L,CO,HI,5,A,3.7,501+,6,501+,7.4,601+,10.7,601+,7.1,601+,12.7,601+,34.3,601+,49.2,257,-
1201-1400,MIREA - Russian Technological University,RU,L,FO,VH,4,A,3.6,501+,3.6,501+,9.7,601+,1.5,601+,1.4,601+,3.8,601+,7.2,601+,6,601+,-
1201-1400,Moscow City University,RU,L,FO,MD,3,A,4.1,501+,1.9,501+,8.2,601+,1.1,601+,3.5,601+,4.6,601+,1.7,601+,3.7,601+,-
1201-1400,Moscow Pedagogical State University,RU,L,FO,HI,5,A,6.5,501+,3.1,501+,8.3,601+,1.5,601+,1.2,601+,28.1,447,6.4,601+,3.3,601+,-
1201-1400,National Dong Hwa University,TW,M,FO,VH,2,A,5,501+,2.4,501+,8.2,601+,6.8,601+,3.3,601+,10.4,601+,11.1,601+,6,601+,-
1201-1400,National Research University Moscow Power Engineering Institute (MPEI),RU,M,FO,VH,4,A,4,501+,3.4,501+,11.6,601+,2,601+,8.2,601+,40.9,341,24.7,601+,5.2,601+,-
1201-1400,National Taipei University,TW,M,FO,HI,2,A,6.7,501+,4.2,501+,9.3,601+,3.5,601+,2.4,601+,4.2,601+,5.9,601+,15.6,601+,-
1201-1400,National University of Life and Environmental Sciences of Ukraine,UA,L,FO,HI,5,A,5.1,501+,4.4,501+,21.9,601+,1.3,601+,1.2,601+,1.7,601+,17.6,601+,12.1,601+,-
1201-1400,Northern Arizona University,US,L,CO,HI,5,A,6.6,501+,6.1,501+,4.9,601+,13.9,601+,3,601+,2.6,601+,48.9,601+,5.3,601+,-
1201-1400,Nova Southeastern University,US,L,CO,HI,4,B,2.9,501+,4.7,501+,15.8,601+,3.4,601+,3.1,601+,4.4,601+,23.5,601+,9,601+,-
1201-1400,Óbuda University,HU,M,FO,VH,2,A,3.1,501+,3.6,501+,2,601+,7.5,601+,8.7,601+,7.3,601+,27.9,601+,19.1,601+,-
1201-1400,OSMANIA UNIVERSITY,IN,M,CO,VH,5,A,4,501+,3.2,501+,3.8,601+,16.2,601+,,,6.6,601+,15.2,601+,7,601+,-
1201-1400,Panjab University,IN,L,CO,VH,4,A,5.5,501+,3.2,501+,5.2,601+,17,599,,,1.7,601+,31.7,601+,51.2,243,-
1201-1400,Pontificia Universidad Catolica Madre y Maestra,DO,M,FO,MD,4,B,4.6,501+,8.5,501+,12.5,601+,1.2,601+,12.4,601+,21.1,525,3.5,601+,65.8,162,-
1201-1400,Pontificia Universidade Católica do Campinas - PUC Campinas,BR,M,CO,MD,4,C,4.9,501+,4,501+,8.1,601+,2,601+,2.6,601+,1,601+,1.6,601+,4.7,601+,-
1201-1400,Pontifícia Universidade Católica do Paraná,BR,M,FC,HI,4,B,4.1,501+,3.2,501+,5,601+,4.7,601+,1.2,601+,1.6,601+,17.9,601+,4.8,601+,-
1201-1400,Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),BR,L,FC,HI,4,B,6.9,501+,4.3,501+,8.8,601+,5.4,601+,2.5,601+,1.6,601+,25.3,601+,3.1,601+,-
1201-1400,Portland State University,US,L,CO,VH,4,A,4.3,501+,3.4,501+,9.8,601+,11.3,601+,1,601+,6,601+,53.5,601+,6.6,601+,-
1201-1400,Pukyong National University ,KR,L,CO,VH,3,A,5,501+,3.2,501+,8.4,601+,10.2,601+,6,601+,8.3,601+,24.7,601+,3.7,601+,-
1201-1400,Rikkyo University,JP,L,FO,HI,5,C,3.3,501+,10,501+,13.1,601+,2.8,601+,26.6,510,6.9,601+,13.3,601+,10.3,601+,-
1201-1400,Russian State Agrarian University - Moscow Timiryazev Agricultural Academy,RU,M,FO,HI,5,A,5.4,501+,3.2,501+,10,601+,1.3,601+,2.2,601+,5.7,601+,5.3,601+,8.8,601+,-
1201-1400,Russian State University for the Humanities ,RU,M,FO,VH,3,A,4.5,501+,2.4,501+,22.5,601+,1.3,601+,1.6,601+,4.3,601+,1.2,601+,6.4,601+,-
1201-1400,"Rutgers, The State University of New Jersey, Camden",US,M,CO,HI,,A,3.8,501+,4.2,501+,16.4,601+,3.9,601+,16.6,601+,3.2,601+,7.5,601+,4.1,601+,-
1201-1400,Saken Seifullin Kazakh Agrotechnical University,KZ,M,FO,HI,4,B,6.5,501+,4.7,501+,17.5,601+,1.2,601+,3.7,601+,1.6,601+,5.4,601+,14.9,601+,-
1201-1400,San Francisco State University,US,L,CO,HI,5,A,4,501+,2.5,501+,5.1,601+,5.8,601+,4,601+,8.2,601+,31.7,601+,12.1,601+,-
1201-1400,Shanghai Normal University,CN,L,CO,HI,3,A,3.5,501+,1.4,501+,14,601+,3,601+,,,,,17.9,601+,2.5,601+,-
1201-1400,Shanghai University of Finance and Economics,CN,L,FO,HI,4,A,4,501+,4,501+,10.2,601+,3,601+,14.3,601+,2.5,601+,18,601+,29.2,433,-
1201-1400,Shibaura Institute of Technology,JP,M,FO,VH,4,B,3.1,501+,2.6,501+,2.6,601+,7,601+,22,558,9.1,601+,17.2,601+,4.1,601+,-
1201-1400,Slovak University of Agriculture in Nitra,SK,M,FO,VH,3,A,4.6,501+,4.1,501+,18.2,601+,4.4,601+,9.7,601+,3,601+,24.1,601+,32.5,390,-
1201-1400,Soochow University (Taiwan),TW,L,FO,MD,4,C,4.3,501+,7.2,501+,4.8,601+,1.9,601+,4.6,601+,4.5,601+,3.4,601+,5.6,601+,-
1201-1400,Soongsil University,KR,L,CO,HI,3,C,3.3,501+,7,501+,9.5,601+,5.3,601+,7.2,601+,15.6,601+,10.6,601+,3.7,601+,-
1201-1400,Southwest University,CN,XL,CO,VH,2,A,3.1,501+,1.6,501+,13.7,601+,12.6,601+,1.4,601+,1.8,601+,47.1,601+,12.6,601+,-
1201-1400,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,IN,XL,CO,VH,3,B,4.9,501+,8,501+,11.7,601+,3.2,601+,1.7,601+,2.2,601+,45.8,601+,5.3,601+,-
1201-1400,Stefan cel Mare University of Suceava,RO,M,CO,HI,3,A,3.3,501+,2.2,501+,6.1,601+,3.8,601+,2.2,601+,37.1,374,16.6,601+,13.9,601+,-
1201-1400,Suez Canal University,EG,XL,FC,MD,3,A,3.2,501+,2.7,501+,20.6,601+,2.2,601+,1.8,601+,1.6,601+,43.7,601+,5.2,601+,-
1201-1400,Suranaree University of Technology ,TH,L,FO,VH,3,A,5.7,501+,3,501+,3.3,601+,9,601+,6.9,601+,2.1,601+,25.9,601+,4.3,601+,-
1201-1400,Tamkang University,TW,L,FO,VH,3,C,5,501+,5.6,501+,3.7,601+,6.3,601+,7.7,601+,9,601+,17.5,601+,24.5,498,-
