RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
601-700,Edith Cowan University,au,27-28,,23.7,0.0,6.6,2.5,23.0,23.7
601-700,Ewha Womans University,kr,14-18,,14.4,0.0,6.6,5.0,25.9,14.4
601-700,Fujian Agriculture and Forestry University,cn,111-129,,11.7,0.0,0.0,10.5,27.6,11.7
601-700,Fujian Medical University,cn,111-129,,14.5,0.0,0.0,2.0,35.3,14.5
601-700,Fujian Normal University,cn,111-129,,9.8,0.0,6.6,4.5,25.7,9.8
601-700,Guizhou University,cn,111-129,,11.8,0.0,0.0,3.2,36.3,11.8
601-700,Harbin Medical University,cn,111-129,,20.8,0.0,0.0,1.4,30.2,20.8
601-700,Hasselt University,be,8,,26.0,0.0,9.3,4.1,18.6,26.0
601-700,Henan Normal University,cn,111-129,,9.4,0.0,6.6,4.4,26.0,9.4
601-700,Hong Kong Baptist University,hk,6,,16.3,0.0,6.6,6.9,25.0,16.3
601-700,Indian Institute of Technology Kharagpur,in,2-4,,12.7,0.0,6.6,0.0,28.9,12.7
601-700,Indian Institute of Technology Delhi,in,2-4,,13.1,0.0,0.0,5.4,30.0,13.1
601-700,INHA University,kr,14-18,,15.2,0.0,6.6,3.8,25.6,15.2
601-700,Kitasato University,jp,15-19,,10.2,13.8,0.0,5.2,18.6,10.2
601-700,Konkuk University,kr,14-18,,13.7,0.0,6.6,4.8,25.7,13.7
601-700,Liverpool John Moores University,gb,41-45,,12.4,0.0,6.6,8.0,21.3,12.4
601-700,Loughborough University,gb,41-45,,16.1,0.0,6.6,4.3,26.7,16.1
601-700,Mahidol University,th,2-3,,14.7,0.0,0.0,5.6,33.8,14.7
601-700,Mansoura University,eg,2-4,,14.3,0.0,0.0,1.4,33.1,14.3
601-700,Marche Polytechnic University,it,25-31,,19.2,0.0,9.3,3.4,21.1,19.2
601-700,Medical University of Graz,at,8,,23.9,6.5,0.0,3.8,22.4,23.9
601-700,Nanjing University of Chinese Medicine,cn,111-129,,13.3,0.0,6.6,5.1,27.0,13.3
601-700,Nantong University,cn,111-129,,11.5,0.0,0.0,3.8,32.9,11.5
601-700,National Polytechnic Institute,mx,2,,14.1,0.0,0.0,4.3,32.4,14.1
601-700,National Sun Yat-Sen University,tw,6-10,,18.2,0.0,9.3,3.0,24.1,18.2
601-700,National Taiwan University of Science and Technology,tw,6-10,,18.7,0.0,9.3,1.4,23.1,18.7
601-700,The Second Military Medical University,cn,111-129,,12.3,0.0,6.6,6.7,27.0,12.3
601-700,NOVA University Lisbon,pt,6,,15.0,0.0,6.6,7.2,24.3,15.0
601-700,Osaka Metropolitan University,jp,15-19,,12.1,0.0,0.0,3.8,25.8,12.1
601-700,Palacký University Olomouc,cz,3-4,,20.5,0.0,6.6,6.6,21.8,20.5
601-700,Polytechnic University of Turin,it,25-31,,17.8,0.0,0.0,5.9,28.0,17.8
601-700,Pontifical Catholic University of Chile,cl,2,,13.4,0.0,0.0,9.4,29.6,13.4
601-700,San Diego State University,us,145-157,,15.7,0.0,6.6,5.0,24.4,15.7
601-700,Semmelweis University,hu,2,,10.7,0.0,9.3,6.9,22.1,10.7
601-700,Shandong Agricultural University,cn,111-129,,11.6,0.0,9.3,5.2,25.4,11.6
601-700,Shandong Normal University,cn,111-129,,11.6,0.0,9.3,1.4,29.2,11.6
601-700,Shinshu University,jp,15-19,,12.0,0.0,9.3,6.1,20.4,12.0
601-700,University at Albany (State University of New York),us,145-157,,17.4,0.0,6.6,5.0,22.4,17.4
601-700,State University of New York Health Science Center at Brooklyn,us,145-157,,16.6,14.1,0.0,4.8,14.7,16.6
601-700,Taipei Medical University,tw,6-10,,19.2,0.0,0.0,2.9,29.6,19.2
601-700,The University of Alabama - Tuscaloosa,us,145-157,,14.3,0.0,0.0,7.2,29.0,14.3
601-700,The University of Texas at Arlington,us,145-157,,16.3,0.0,6.6,4.1,23.2,16.3
601-700,Tokyo University of Science,jp,15-19,,10.2,0.0,6.6,5.7,20.4,10.2
601-700,Umea University,se,11,,15.5,0.0,0.0,9.7,29.1,15.5
601-700,University of Arkansas for Medical Sciences,us,145-157,,27.2,0.0,6.6,3.5,20.2,27.2
601-700,University of Campania Luigi Vanvitelli,it,25-31,,18.8,0.0,6.6,2.5,28.2,18.8
601-700,Universitat Jaume I,es,14-20,,18.9,0.0,11.4,1.4,20.1,18.9
601-700,University of Alaska - Fairbanks,us,145-157,,22.4,0.0,9.3,8.7,16.1,22.4
601-700,University of Bremen,de,37-40,,12.2,0.0,0.0,14.3,24.6,12.2
601-700,University of Castilla–La Mancha,es,14-20,,15.5,0.0,6.6,2.9,25.0,15.5
601-700,University of Clermont Auvergne,fr,19,,13.6,0.0,6.6,4.5,25.5,13.6
601-700,University of Delhi,in,2-4,,11.9,0.0,6.6,2.5,26.8,11.9
601-700,University of Ferrara,it,25-31,,19.9,0.0,6.6,5.2,24.6,19.9
601-700,University of Giessen,de,37-40,,12.0,0.0,6.6,5.7,26.5,12.0
601-700,University of Greenwich,gb,41-45,,13.2,0.0,6.6,4.3,16.0,13.2
601-700,University of Haifa,il,7,,19.8,0.0,0.0,6.1,28.5,19.8
601-700,University of Halle-Wittenberg,de,37-40,,11.5,0.0,0.0,12.2,23.7,11.5
601-700,University of Health Sciences Turkey,tr,2,,14.4,0.0,0.0,1.4,33.3,14.4
601-700,University of Iceland,is,1,,10.7,0.0,6.6,11.4,21.2,10.7
601-700,University of Ljubljana,si,1,,15.2,0.0,0.0,4.5,33.2,15.2
601-700,University of Luebeck,de,37-40,,10.4,0.0,13.2,6.6,19.2,10.4
601-700,University of Luxembourg,lu,1,,11.1,0.0,13.2,5.6,21.6,11.1
601-700,University of New Hampshire,us,145-157,,16.0,0.0,6.6,8.1,19.8,16.0
601-700,University of Oviedo,es,14-20,,13.5,0.0,6.6,6.3,25.8,13.5
601-700,University of Plymouth,gb,41-45,,18.3,0.0,9.3,7.8,19.4,18.3
601-700,University of Santiago Compostela,es,14-20,,15.0,0.0,0.0,9.2,29.2,15.0
601-700,"University of Science, Malaysia",my,3,,14.3,0.0,0.0,2.9,33.1,14.3
601-700,University of Seville,es,14-20,,13.3,0.0,0.0,5.5,34.3,13.3
601-700,University of Siena,it,25-31,,18.9,0.0,6.6,6.6,23.4,18.9
601-700,University of the Balearic Islands,es,14-20,,18.8,0.0,9.3,4.9,20.1,18.8
601-700,University of Toledo,us,145-157,,16.3,0.0,9.3,8.2,18.3,16.3
601-700,University of Trieste,it,25-31,,20.1,0.0,0.0,8.6,24.7,20.1
601-700,University of Tromso,no,4,,15.2,0.0,6.6,6.1,26.5,15.2
601-700,University of Ulsan,kr,14-18,,15.9,0.0,0.0,5.6,31.5,15.9
601-700,University of Zaragoza,es,14-20,,14.2,0.0,0.0,6.7,30.7,14.2
601-700,Wayne State University,us,145-157,,14.4,0.0,0.0,5.7,30.5,14.4
601-700,Wenzhou University,cn,111-129,,12.2,0.0,9.3,2.0,25.7,12.2
601-700,Yanshan University,cn,111-129,,12.0,0.0,0.0,6.8,29.7,12.0
701-800,Air Force Medical University,cn,130-147,,12.0,0.0,0.0,6.3,27.3,12.0
701-800,Al-Azhar University,eg,5,,13.3,0.0,0.0,2.0,30.7,13.3
701-800,American University of Beirut,lb,1,,9.9,0.0,11.4,2.0,19.8,9.9
701-800,Army Medical University,cn,130-147,,12.0,0.0,0.0,9.2,26.2,12.0
701-800,Banaras Hindu University,in,5-8,,11.2,0.0,6.6,2.5,25.1,11.2
701-800,Beijing Forestry University,cn,130-147,,14.0,0.0,0.0,3.7,30.1,14.0
701-800,Bielefeld University,de,41-42,,10.9,0.0,6.6,4.2,24.0,10.9
701-800,Brno University of Technology,cz,5,,16.0,0.0,6.6,4.1,19.7,16.0
701-800,Brunel University,gb,46-51,,16.2,0.0,6.6,2.0,23.1,16.2
701-800,Catholic University of Korea,kr,19-23,,13.7,0.0,0.0,2.5,28.6,13.7
701-800,Changsha University of Science and Technology,cn,130-147,,9.8,0.0,9.3,0.0,24.4,9.8
701-800,Chung-Ang University,kr,19-23,,14.5,0.0,0.0,3.2,29.0,14.5
701-800,Chungbuk National University,kr,19-23,,14.8,0.0,6.6,2.5,23.4,14.8
701-800,Chungnam National University,kr,19-23,,15.7,0.0,0.0,2.5,30.1,15.7
701-800,Copenhagen Business School,dk,6,,10.1,0.0,9.3,,18.5,10.1
701-800,Donghua University,cn,130-147,,14.6,0.0,0.0,1.4,31.8,14.6
701-800,Federal University of Parana,br,7-10,,13.2,0.0,0.0,2.5,30.5,13.2
701-800,Federal University of Santa Catarina,br,7-10,,12.4,0.0,0.0,3.7,28.5,12.4
701-800,Federal University of Sao Paulo,br,7-10,,12.7,0.0,0.0,3.5,29.3,12.7
701-800,Foshan University,cn,130-147,,11.9,0.0,9.3,2.9,21.1,11.9
