RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
101-150,Carnegie Mellon University,us,39-51,,27.3,27.6,11.4,20.4,29.0,27.3
101-150,City University of Hong Kong,hk,2-3,,29.2,0.0,35.4,16.7,45.4,29.2
101-150,Emory University,us,39-51,,28.9,0.0,26.3,22.5,48.9,28.9
101-150,Harbin Institute of Technology,cn,11-23,,22.7,0.0,27.1,12.8,65.8,22.7
101-150,Jilin University,cn,11-23,,15.9,0.0,22.8,13.5,60.5,15.9
101-150,King Saud University,sa,1,,21.5,0.0,41.1,5.6,57.6,21.5
101-150,Leiden University,nl,4-6,,26.5,0.0,30.9,20.1,47.6,26.5
101-150,Mayo Clinic Alix School of Medicine,us,39-51,,26.3,0.0,37.8,17.7,44.8,26.3
101-150,Moscow State University,ru,1,,26.7,29.1,0.0,11.9,46.0,26.7
101-150,Icahn School of Medicine at Mount Sinai,us,39-51,,17.8,0.0,36.6,27.3,39.0,17.8
101-150,Nagoya University,jp,3,,18.7,23.5,6.6,20.2,39.7,18.7
101-150,Norwegian University of Science and Technology - NTNU,no,2,,19.7,19.5,14.7,15.5,42.1,19.7
101-150,Radboud University Nijmegen,nl,4-6,,28.9,0.0,24.6,19.6,45.7,28.9
101-150,Rice University,us,39-51,,34.3,19.9,22.8,23.4,26.8,34.3
101-150,"Rutgers, The State University of New Jersey - New Brunswick",us,39-51,,15.5,16.0,20.8,18.6,41.4,15.5
101-150,Sapienza University of Rome,it,1,,19.8,22.6,6.6,14.5,48.4,19.8
101-150,Shandong University,cn,11-23,,17.4,0.0,20.8,12.5,67.2,17.4
101-150,Sichuan University,cn,11-23,,20.8,0.0,23.7,11.2,73.0,20.8
101-150,Soochow University (China),cn,11-23,,18.3,0.0,34.2,9.0,53.5,18.3
101-150,South China University of Technology,cn,11-23,,20.6,0.0,28.7,9.8,56.1,20.6
101-150,Southern University of Science and Technology,cn,11-23,,36.0,0.0,24.6,18.8,44.2,36.0
101-150,Southeast University,cn,11-23,,20.1,0.0,25.5,9.3,63.1,20.1
101-150,The Chinese University of Hong Kong,hk,2-3,,23.5,13.0,18.6,11.8,51.1,23.5
101-150,The Ohio State University - Columbus,us,39-51,,15.7,0.0,17.4,20.9,57.5,15.7
101-150,Pennsylvania State University - University Park,us,39-51,,14.2,0.0,21.8,33.1,46.2,14.2
101-150,The University of Glasgow,gb,9-12,,24.7,0.0,24.6,21.5,40.8,24.7
101-150,The University of Western Australia,au,7,,32.1,13.0,25.5,13.5,43.7,32.1
101-150,Tianjin University,cn,11-23,,20.6,0.0,27.9,9.8,60.7,20.6
101-150,University of Electronic Science and Technology of China,cn,11-23,,21.0,0.0,32.9,11.3,50.6,21.0
101-150,Université Grenoble Alpes,fr,5,,19.8,13.0,17.4,22.9,41.6,19.8
101-150,Université libre de Bruxelles (ULB),be,3,,34.4,24.4,14.7,18.9,30.0,34.4
101-150,University of Amsterdam,nl,4-6,,23.6,0.0,32.2,20.3,48.8,23.6
101-150,University of Bern,ch,6-7,,32.3,0.0,17.4,23.6,42.9,32.3
101-150,"University of California, Davis",us,39-51,,21.1,0.0,23.7,25.4,50.2,21.1
101-150,University of Florida,us,39-51,,22.5,0.0,23.7,19.1,56.9,22.5
101-150,University of Freiburg,de,5,,21.6,14.6,16.1,23.5,35.6,21.6
101-150,University of Gothenburg,se,4,,22.9,14.1,25.5,16.0,41.9,22.9
101-150,University of Helsinki,fi,1,,25.2,16.0,17.4,19.0,48.8,25.2
101-150,University of Lausanne,ch,6-7,,24.3,16.0,17.4,21.2,33.8,24.3
101-150,University of Liverpool,gb,9-12,,25.0,9.2,17.4,18.7,42.6,25.0
101-150,University of Nottingham,gb,9-12,,23.0,18.4,17.4,15.0,42.1,23.0
101-150,University of Sao Paulo,br,1,,17.3,0.0,18.6,14.7,67.8,17.3
101-150,University of Utah,us,39-51,,21.1,10.6,13.2,24.0,47.0,21.1
101-150,University of Vienna,at,1,,29.2,16.8,19.7,22.9,36.1,29.2
101-150,University of Warwick,gb,9-12,,26.4,27.6,13.2,18.2,37.7,26.4
101-150,Wuhan University,cn,11-23,,19.5,0.0,27.1,17.3,65.3,19.5
101-150,Xi'an Jiaotong University,cn,11-23,,20.3,0.0,18.6,16.4,70.6,20.3
151-200,Aix Marseille University,fr,6-8,,19.0,0.0,18.6,21.5,48.1,19.0
151-200,Baylor College of Medicine,us,52-61,,16.3,0.0,23.7,23.6,38.7,16.3
151-200,Beihang University,cn,24-32,,17.6,0.0,20.8,14.3,51.2,17.6
151-200,Beijing Normal University,cn,24-32,,18.3,0.0,13.2,12.7,51.2,18.3
151-200,Cardiff University,gb,13-20,,22.3,15.0,19.7,17.8,35.9,22.3
151-200,Case Western Reserve University,us,52-61,,25.5,9.2,17.4,14.2,34.6,25.5
151-200,Delft University of Technology,nl,7-9,,22.4,0.0,18.6,26.8,39.2,22.4
151-200,Georgia Institute of Technology,us,52-61,,28.2,0.0,23.7,18.0,38.4,28.2
151-200,Goethe University Frankfurt,de,6-9,,21.2,0.0,16.1,18.9,35.9,21.2
151-200,Hunan University,cn,24-32,,20.8,0.0,37.2,10.4,45.9,20.8
151-200,Indiana University Bloomington,us,52-61,,19.0,18.4,16.1,13.2,35.1,19.0
151-200,King Abdulaziz University,sa,2,,17.3,0.0,37.2,4.5,49.8,17.3
151-200,London School of Economics and Political Science,gb,13-20,,29.7,15.0,11.4,,29.5,29.7
151-200,London School of Hygiene & Tropical Medicine,gb,13-20,,34.6,0.0,27.9,14.1,33.4,34.6
151-200,Lund University,se,5,,22.3,0.0,16.1,17.4,46.4,22.3
151-200,Michigan State University,us,52-61,,18.3,0.0,21.8,17.8,47.0,18.3
151-200,Nankai University,cn,24-32,,19.4,0.0,28.7,15.7,45.2,19.4
151-200,Northwestern Polytechnical University,cn,24-32,,18.3,0.0,26.3,10.6,51.7,18.3
151-200,Osaka University,jp,4-5,,15.3,0.0,13.2,18.0,45.9,15.3
151-200,Shenzhen University,cn,24-32,,18.6,0.0,19.7,12.1,52.2,18.6
151-200,Sungkyunkwan University,kr,2,,22.4,0.0,20.8,14.3,46.0,22.4
151-200,Technical University of Denmark,dk,3,,20.7,9.2,20.8,18.7,36.6,20.7
151-200,Texas A&M University,us,52-61,,17.9,0.0,17.4,19.3,47.4,17.9
151-200,The Hong Kong Polytechnic University,hk,4,,21.6,0.0,23.7,8.4,50.8,21.6
151-200,The University of Adelaide,au,8,,31.3,0.0,29.4,12.2,39.3,31.3
151-200,The University of Sheffield,gb,13-20,,22.7,11.3,16.1,17.3,39.5,22.7
151-200,Tokyo Institute of Technology,jp,4-5,,22.9,27.6,6.6,11.7,31.2,22.9
151-200,Tongji University,cn,24-32,,20.6,0.0,14.7,11.3,64.7,20.6
151-200,Tufts University,us,52-61,,24.5,14.6,17.4,12.3,29.1,24.5
151-200,University of Arizona,us,52-61,,21.2,0.0,16.1,25.7,44.2,21.2
151-200,University of Birmingham,gb,13-20,,22.1,6.5,14.7,18.2,44.1,22.1
151-200,"University of California, Santa Cruz",us,52-61,,33.1,0.0,32.2,24.7,24.6,33.1
151-200,University of Cologne,de,6-9,,20.5,9.2,17.4,22.3,37.1,20.5
151-200,Exeter University,gb,13-20,,25.4,0.0,27.1,24.1,37.3,25.4
151-200,University of Goettingen,de,6-9,,20.5,0.0,13.2,24.3,32.5,20.5
151-200,University of Leeds,gb,13-20,,21.0,0.0,17.4,19.3,42.5,21.0
151-200,University of Massachusetts Amherst,us,52-61,,22.4,0.0,22.8,18.6,32.2,22.4
151-200,University of Milan,it,2-4,,21.9,0.0,16.1,12.6,47.0,21.9
151-200,University of Montpellier,fr,6-8,,22.4,0.0,11.4,20.9,43.7,22.4
151-200,Université de Montréal,ca,6-7,,23.1,0.0,14.7,17.7,47.8,23.1
151-200,University of Padua,it,2-4,,22.3,0.0,18.6,15.8,49.3,22.3
151-200,University of Pisa,it,2-4,,23.0,20.6,6.6,7.0,36.7,23.0
151-200,University of Southampton,gb,13-20,,24.3,0.0,21.8,19.0,40.3,24.3
151-200,University of Strasbourg,fr,6-8,,21.8,30.2,0.0,17.9,32.0,21.8
151-200,University of Tuebingen,de,6-9,,21.6,0.0,17.4,23.3,37.9,21.6
151-200,University of Waterloo,ca,6-7,,22.4,13.8,24.6,10.5,39.7,22.4
151-200,Vrije Universiteit Amsterdam,nl,7-9,,24.8,0.0,25.5,17.9,43.9,24.8
151-200,Wageningen University & Research,nl,7-9,,28.5,0.0,30.2,14.8,37.7,28.5
151-200,Xiamen University,cn,24-32,,17.9,0.0,20.8,15.4,51.5,17.9
151-200,Zhengzhou University,cn,24-32,,17.5,0.0,14.7,7.5,63.5,17.5
201-300,Beijing University of Chemical Technology,cn,33-50,,18.3,0.0,20.8,7.8,34.8,18.3
201-300,Capital Medical University,cn,33-50,,30.7,0.0,0.0,8.2,53.6,30.7
201-300,Catholic University of Louvain,be,4-5,,24.8,11.9,18.6,11.0,27.0,24.8
201-300,China Agricultural University,cn,33-50,,20.0,0.0,26.3,9.5,44.9,20.0
201-300,China Medical University (Taichung),tw,1-2,,32.5,0.0,20.8,2.5,39.0,32.5
201-300,China University of Geosciences (Wuhan),cn,33-50,,16.8,0.0,18.6,9.1,41.1,16.8
201-300,Chongqing University,cn,33-50,,17.3,0.0,17.4,4.8,55.7,17.3
201-300,Claude Bernard University Lyon 1,fr,9-12,,19.4,0.0,11.4,20.0,36.8,19.4
201-300,Curtin University,au,9-15,,29.9,0.0,19.7,14.7,37.9,29.9
201-300,Dalian University of Technology,cn,33-50,,15.4,0.0,18.6,5.9,51.9,15.4
201-300,Deakin University,au,9-15,,25.5,0.0,22.8,8.6,41.1,25.5
201-300,East China Normal University,cn,33-50,,15.9,0.0,17.4,13.6,41.4,15.9
201-300,Ecole Normale Superieure - Lyon,fr,9-12,,37.9,18.4,6.6,5.9,19.4,37.9
201-300,Florida State University,us,62-82,,19.4,0.0,14.7,15.8,34.0,19.4
201-300,Fuzhou University,cn,33-50,,15.5,0.0,21.8,6.8,37.8,15.5
201-300,George Mason University,us,62-82,,18.8,29.1,6.6,10.2,27.2,18.8
201-300,Hanyang University,kr,3-7,,21.3,0.0,16.1,8.0,39.1,21.3
201-300,Hokkaido University,jp,6-8,,15.7,15.0,6.6,14.5,39.1,15.7
201-300,Jiangsu University,cn,33-50,,15.7,0.0,18.6,2.7,46.3,15.7
201-300,Jinan University,cn,33-50,,16.7,0.0,13.2,9.4,46.4,16.7
201-300,King Abdullah University of Science and Technology,sa,3-4,,17.8,0.0,27.1,13.8,27.9,17.8
201-300,Korea Advanced Institute of Science and Technology,kr,3-7,,26.6,0.0,11.4,20.8,33.6,26.6
201-300,Korea University,kr,3-7,,21.9,0.0,17.4,11.9,46.5,21.9
201-300,KTH Royal Institute of Technology,se,6,,25.6,13.0,6.6,12.9,33.3,25.6
201-300,Lanzhou University,cn,33-50,,16.5,0.0,11.4,9.9,45.6,16.5
201-300,Maastricht University,nl,10,,26.3,0.0,13.2,8.6,41.6,26.3
201-300,Macquarie University,au,9-15,,25.8,0.0,9.3,14.5,38.0,25.8
201-300,Medical University of Vienna,at,2,,25.4,0.0,14.7,17.5,34.8,25.4
201-300,Nanjing Medical University,cn,33-50,,24.5,0.0,9.3,9.6,49.4,24.5
201-300,NanJing Tech University,cn,33-50,,14.5,0.0,19.7,12.2,36.9,14.5
201-300,National Taiwan University,tw,1-2,,19.2,0.0,13.2,8.2,48.8,19.2
201-300,Newcastle University,gb,21-25,,20.0,0.0,13.2,16.7,37.9,20.0
201-300,North Carolina State University - Raleigh,us,62-82,,17.4,0.0,14.7,12.0,37.8,17.4
201-300,Northeastern University (Boston),us,62-82,,18.1,0.0,18.6,15.8,29.6,18.1
201-300,Oregon Health and Science University,us,62-82,,19.5,0.0,16.1,19.4,33.8,19.5
201-300,Oregon State University,us,62-82,,22.1,0.0,13.2,18.3,31.1,22.1
201-300,Peking Union Medical College,cn,33-50,,30.4,0.0,11.4,7.5,47.1,30.4
201-300,Polytechnic University of Milan,it,5-8,,19.2,13.0,6.6,8.4,34.1,19.2
201-300,Qingdao University,cn,33-50,,15.1,0.0,17.4,3.7,43.3,15.1
201-300,Queen Mary University of London,gb,21-25,,23.0,0.0,13.2,15.8,36.6,23.0
201-300,Queen's University,ca,8-11,,23.3,19.5,9.3,9.0,32.1,23.3
201-300,RWTH Aachen University,de,10-19,,19.9,0.0,11.4,19.0,40.5,19.9
201-300,Shanghai University,cn,33-50,,13.6,0.0,17.4,7.3,44.1,13.6
201-300,Swinburne University of Technology,au,9-15,,30.9,0.0,21.8,10.8,28.9,30.9
201-300,Taif University,sa,3-4,,20.4,0.0,20.8,0.0,42.5,20.4
201-300,Technical University of Berlin,de,10-19,,15.8,0.0,14.7,14.7,29.0,15.8
201-300,Tel Aviv University,il,4,,26.6,0.0,6.6,20.8,47.3,26.6
201-300,The George Washington University,us,62-82,,20.2,0.0,9.3,14.4,34.9,20.2
201-300,The University of Auckland,nz,1,,22.9,0.0,17.4,7.9,40.4,22.9
201-300,The University of Calgary,ca,8-11,,20.3,0.0,20.8,13.9,45.2,20.3
201-300,Tohoku University,jp,6-8,,15.3,0.0,14.7,15.9,45.4,15.3
201-300,Trinity College Dublin,ie,1,,17.8,11.3,18.6,12.1,31.7,17.8
201-300,TU Dresden,de,10-19,,20.8,0.0,23.7,14.9,39.2,20.8
201-300,Ulsan National Institute of Science and Technology,kr,3-7,,32.6,0.0,20.8,17.2,22.5,32.6
201-300,University of Massachusetts Medical School - Worcester,us,62-82,,19.1,18.4,14.7,18.6,21.7,19.1
201-300,National Autonomous University of Mexico,mx,1,,21.3,0.0,0.0,11.4,47.3,21.3
201-300,University of Science and Technology Beijing,cn,33-50,,18.4,0.0,14.7,8.6,46.2,18.4
201-300,The University of Texas Health Science Center at Houston,us,62-82,,14.2,14.1,9.3,12.0,29.9,14.2
201-300,University of Aberdeen,gb,21-25,,24.4,11.3,20.8,8.4,26.1,24.4
201-300,University of Antwerp,be,4-5,,28.5,0.0,14.7,9.1,34.0,28.5
201-300,University of Barcelona,es,1-2,,21.9,0.0,19.7,13.7,46.7,21.9
201-300,University of Bologna,it,5-8,,18.1,0.0,11.4,9.8,48.3,18.1
201-300,University of Bordeaux,fr,9-12,,18.1,0.0,11.4,18.4,35.2,18.1
201-300,University of Buenos Aires,ar,1,,16.6,20.6,6.6,6.3,30.1,16.6
201-300,"University of California, Riverside",us,62-82,,23.6,0.0,17.4,19.9,30.4,23.6
201-300,University of Cape Town,za,1,,17.5,0.0,11.4,12.8,35.1,17.5
201-300,University of Cincinnati,us,62-82,,15.6,0.0,13.2,12.9,38.2,15.6
201-300,University of Colorado at Denver,us,62-82,,15.3,0.0,9.3,20.4,44.0,15.3
201-300,University of Delaware,us,62-82,,17.9,15.0,9.3,10.7,29.3,17.9
201-300,University of East Anglia,gb,21-25,,23.3,0.0,17.4,12.9,24.8,23.3
201-300,University of Erlangen-Nuremberg,de,10-19,,18.7,0.0,14.7,16.8,37.3,18.7
201-300,University of Granada,es,1-2,,16.3,0.0,19.7,6.9,38.4,16.3
201-300,University of Hamburg,de,10-19,,18.2,0.0,11.4,18.4,34.9,18.2
201-300,University of Iowa,us,62-82,,15.5,0.0,14.7,15.5,39.0,15.5
201-300,University of Kiel,de,10-19,,15.6,9.2,17.4,11.2,27.7,15.6
201-300,University of Leipzig,de,10-19,,16.9,9.2,13.2,11.1,33.5,16.9
201-300,University of Lisbon,pt,1-2,,18.0,6.5,11.4,12.5,47.8,18.0
201-300,University of Lorraine,fr,9-12,,14.0,13.0,11.4,9.5,33.1,14.0
201-300,University of Mainz,de,10-19,,17.7,6.5,13.2,19.6,33.1,17.7
201-300,University of Manitoba,ca,8-11,,19.6,0.0,19.7,5.9,33.1,19.6
201-300,University of Missouri - Columbia,us,62-82,,15.9,13.8,11.4,9.6,33.4,15.9
201-300,University of Muenster,de,10-19,,17.9,9.2,9.3,19.9,31.5,17.9
201-300,University of Naples Federico II,it,5-8,,18.9,0.0,9.3,9.4,46.2,18.9
